******** ウェーバーモード：武将ランキング出力 ********
ランク/LV,★5/LV20
スキルLV,ALL10
ステ振り,兵法振4 + 攻/防振0
******* 固定3武将 *******
No,武将名,R,コスト,指揮兵数,初期スキル,効果範囲,発動率(%),上昇率(%)
1015,徳川家康(大人),天,4,4350,覇道 不如帰,槍馬砲攻,30.0,30.00
1025,浅井長政(新),天,4,4300,浅井一文字,弓馬器攻,45.00,35.00
2093,山本勘助,極,3.5,3680,破軍建返し,馬攻,30.0,40.00
******* 追加スキル *******
追加スキル名,効果範囲,発動率(%),上昇率(%)
騎馬隊剛撃,馬攻,35.00,20.00
鬼刺,槍馬攻,15.00,(コスト×9)%
***********************************************
"No.","R","名称","C","兵数","統率","兵法","将攻/防","実質兵数","実コス比","部隊期待値"
"2056","極","酒井忠次","3","3440","1.175","1290.0","10880","6,005","2,001","1,139,896"
"1035","天","淀","3","3800","1.15","1980.0","12110","6,434","2,144","1,139,799"
"2026","極","柴田勝家","3","3350","1.2","1255.0","12360","5,993","1,997","1,138,079"
"2027","極","蒲生氏郷","3","3260","1.175","1960.0","11540","5,723","1,907","1,137,238"
"2701","極","北条早雲","3.5","3800","1.15","1650","10945","6,428","1,836","1,136,891"
"1006","天","北条氏康","3.5","3990","1.15","1960.0","11490","6,704","1,915","1,136,103"
"2028","極","伊達政宗","3","3350","1.2","1645","12177","5,973","1,991","1,135,432"
"1022","天","毛利元就(新)","3.5","4090","1.1","2010.0","11540","6,588","1,882","1,135,217"
"1009","天","島津義久","3.5","3960","1.15","1975.0","11475","6,653","1,900","1,134,353"
"2066","極","片倉小十郎","3","3370","1.15","1665","10930","5,771","1,923","1,133,352"
"2050","極","松平信康","3","3300","1.2","1630","10950","5,880","1,960","1,130,917"
"2058","極","宇佐美定満","3","3270","1.2","1955.0","10260","5,820","1,940","1,128,327"
"1011","天","大友宗麟","3.5","3970","1.125","1935.0","12080","6,523","1,863","1,128,305"
"2067","極","島津貴久","3","3360","1.15","1640","10920","5,735","1,911","1,125,407"
"2025","極","上杉景勝","3","3410","1.125","1625","11610","5,704","1,901","1,125,404"
"2718","極","島津日新斎","3.5","3820","1.15","1980.0","10840","6,418","1,833","1,124,889"
"2713","極","北条幻庵","3","3480","1.2","1680","10870","6,133","2,044","1,121,931"
"2061","極","馬場信房","2.5","3100","1.2","1620","10900","5,533","2,213","1,120,069"
"2021","極","福島正則","2.5","3080","1.2","1220.0","12160","5,495","2,198","1,115,634"
"2035","極","毛利輝元","3","3350","1.175","1950.0","11530","5,807","1,935","1,115,412"
"2042","極","山県昌景","2.5","3170","1.175","1600","10940","5,529","2,211","1,115,156"
"2714","極","六角高頼","3.5","3660","1.175","1650","11550","6,275","1,792","1,112,816"
"2015","極","直江兼続","3","3340","1.175","1970.0","12200","5,787","1,929","1,111,433"
"2717","極","鈴木佐太夫","3.5","3600","1.15","1960.0","11060","6,067","1,733","1,110,309"
"2009","極","羽柴秀吉","3","3430","1.15","1970.0","10200","5,794","1,931","1,109,951"
"2043","極","本多富正","3","3280","1.15","1925.0","11510","5,573","1,857","1,108,886"
"2011","極","織田信長","3.5","3550","1.15","1950.0","10900","5,971","1,706","1,106,206"
"2071","極","風魔小太郎","3","3260","1.175","1655","11100","5,652","1,884","1,103,611"
"2052","極","浅井長政","3","3330","1.175","1630","10930","5,741","1,913","1,101,530"
"2073","極","北条氏政","3.5","3550","1.125","1945.0","10910","5,841","1,668","1,100,873"
"2065","極","竹中半兵衛(新)","3","3400","1.175","2000.0","10250","5,829","1,943","1,096,162"
"2014","極","前田慶次","3","3440","1.2","1280.0","12350","6,011","2,003","1,090,443"
"2048","極","結城秀康","3","3400","1.175","1660","11610","5,818","1,939","1,087,572"
"2044","極","今川義元","3","3360","1.15","1955.0","10900","5,635","1,878","1,085,637"
"2080","極","岡左内","3","3280","1.175","1950.0","11530","5,624","1,874","1,085,098"
"2022","極","加藤清正","3","3220","1.2","1910.0","10930","5,637","1,879","1,084,909"
"2016","極","真田幸村","3","3370","1.175","1600","11010","5,764","1,921","1,084,287"
"2091","極","松永久秀","3","3260","1.175","1980.0","11400","5,581","1,860","1,083,919"
"2029","極","斎藤道三","3","3350","1.175","1645","10377","5,730","1,910","1,083,749"
"2710","極","南光坊天海","3","3350","1.125","2005.0","10850","5,501","1,833","1,083,458"
"2078","極","山中鹿介","3","3340","1.175","1660","11580","5,714","1,904","1,083,387"
"2090","極","江","2.5","3100","1.175","1650","10860","5,335","2,134","1,081,964"
"2062","極","高坂昌信","2.5","3080","1.175","1620","10870","5,305","2,122","1,081,945"
"2081","極","太田資正","3","3280","1.15","1960.0","10350","5,506","1,835","1,080,535"
"2037","極","明智光秀","3","3260","1.15","1965.0","11530","5,472","1,824","1,079,232"
"2092","極","毛利元就","3","3360","1.15","1620","12120","5,619","1,873","1,078,812"
"2005","極","上杉謙信","2","2670","1.15","1880.0","8545","4,574","2,287","1,078,607"
"2057","極","六角定頼","3","3360","1.15","1620","10850","5,614","1,871","1,078,590"
"2020","極","立花宗茂","2.5","3120","1.15","1580","11525","5,257","2,102","1,077,525"
"2702","極","本願寺蓮如","3","3400","1.125","1640","10320","5,563","1,854","1,076,914"
"2036","極","朝倉義景","3","3410","1.125","1600","10900","5,575","1,858","1,076,682"
"2034","極","小西行長","3","3330","1.1","1910.0","11470","5,338","1,779","1,072,814"
"2003","極","島津義弘","3","3310","1.125","1650","11550","5,420","1,806","1,071,343"
"2051","極","村上武吉","3","3370","1.1","1620","10900","5,389","1,796","1,069,557"
"2719","極","三浦按針","2.5","3140","1.15","1970.0","12040","5,247","2,098","1,063,259"
"2013","極","島左近","2.5","3050","1.2","1570","11550","5,310","2,124","1,058,528"
"2002","極","黒田官兵衛","2.5","2950","1.05","1980.0","10150","4,548","1,819","1,057,498"
"2004","極","真田昌幸","2.5","3050","1.15","1975.0","9640","5,098","2,039","1,057,366"
"2069","極","島津豊久","2.5","3100","1.2","1330.0","10910","5,381","2,152","1,057,017"
"2047","極","本多正信","2.5","3070","1.125","1970.0","9680","5,023","2,009","1,054,234"
"2039","極","服部半蔵","2.5","2980","1.15","1970.0","11700","5,003","2,001","1,053,430"
"2063","極","内藤昌豊","2.5","3020","1.175","1635","10250","5,144","2,057","1,053,043"
"2082","極","長宗我部元親","2.5","3050","1.125","1950.0","11520","4,993","1,997","1,052,660"
"2012","極","石田三成","2.5","3150","1.125","1620","10250","5,134","2,053","1,052,382"
"2088","極","松平忠輝","2.5","3060","1.15","1620","10320","5,105","2,042","1,051,223"
"2079","極","高橋紹運","2.5","3050","1.15","1620","10900","5,087","2,034","1,050,499"
"2023","極","小早川隆景","2.5","3060","1.1","1955.0","10320","4,898","1,959","1,048,932"
"2024","極","前田利家","2.5","3180","1.125","1300.0","10900","5,171","2,068","1,048,091"
"2083","極","霧隠才蔵","2.5","2820","1.175","1960.0","11700","4,841","1,936","1,046,724"
"2053","極","出雲阿国","2","2650","1.15","1940.0","10240","4,458","2,229","1,041,249"
"2008","極","(旧)雑賀孫市","2.5","2940","1.125","1630","10900","4,799","1,919","1,039,144"
"2068","極","大谷吉継","2.5","2990","1.1","1690","9650","4,770","1,908","1,039,059"
"2008","極","雑賀孫市","2.5","2960","1.1","1630","10900","4,724","1,889","1,036,133"
"2054","極","定恵院","2","2770","1.175","1300.0","9600","4,688","2,344","1,022,016"
"2070","極","細川ガラシャ","2","2750","1.125","1640","9620","4,471","2,235","1,019,366"
"2704","極","淀","2","2680","1.125","1645","10250","4,361","2,180","1,015,055"
"2094","極","瀬名姫","2","2700","1.075","1920.0","10800","4,205","2,102","1,013,601"
"2086","極","瑞渓院","2","2590","1.15","1670","9640","4,310","2,155","1,013,458"
"2049","極","妙玖","2","2660","1.1","1650","9620","4,231","2,115","1,009,932"
"2074","極","濃姫","1.5","2650","1.15","1650","9610","4,390","2,926","1,009,514"
"2711","極","寿桂尼","2","2630","1.1","1650","10220","4,183","2,091","1,008,046"
"2030","極","豊臣秀頼","2","2700","1.075","1600","9650","4,196","2,098","1,007,688"
"1024","天","徳川家康(新)","1","2430","1.2","1960.0","5460","4,206","4,206","1,000,646"
"2006","極","竹中半兵衛","1","1820","1.175","1990.0","2900","3,139","3,139","991,395"
"2010","極","足利義輝","3","1990","1.15","1200.0","26745","3,364","1,121","982,550"
"2019","極","佐々木小次郎","2.5","2150","1.075","1590","29140","3,384","1,353","981,699"
"2018","極","宮本武蔵","2.5","1930","1.1","1930.0","30380","3,137","1,254","979,898"
"2076","極","北畠具教","2.5","2100","1.075","1620","27910","3,305","1,322","979,077"
"2040","極","柳生宗矩","2.5","2060","1.075","1590","28560","3,255","1,302","978,621"
"1002","天","足利義昭","1","2340","1.05","1995.0","3550","3,541","3,541","976,047"
"2017","極","茶々","1","1730","1","1625","9640","2,499","2,499","927,332"
"2007","極","柳生石舟斎","2","1080","1.175","970","30965","1,880","940","904,789"
