******** ウェーバーモード：武将ランキング出力 ********
ランク/LV,★5/LV20
スキルLV,ALL10
ステ振り,兵法振4 + 攻/防振0
******* 固定3武将 *******
No,武将名,R,コスト,指揮兵数,初期スキル,効果範囲,発動率(%),上昇率(%)
1015,徳川家康(大人),天,4,4350,覇道 不如帰,槍馬砲攻,30.0,30.00
1025,浅井長政(新),天,4,4300,浅井一文字,弓馬器攻,45.00,35.00
2093,山本勘助,極,3.5,3680,破軍建返し,馬攻,30.0,40.00
******* 追加スキル *******
追加スキル名,効果範囲,発動率(%),上昇率(%)
騎馬隊剛撃,馬攻,35.00,20.00
鬼刺,槍馬攻,15.00,(コスト×9)%
+++++++ 追加スキル（ランキング武将） +++++++
騎馬隊挟撃,馬攻,25.00,(コスト×6.5)%
***********************************************
"No.","R","名称","C","兵数","統率","兵法","将攻/防","実質兵数","実コス比","部隊期待値"
"2010","極","足利義輝","3","1990","1.15","1200.0","26745","3,282","1,094","932,421"
"2011","極","織田信長","3.5","3550","1.15","1950.0","10900","5,821","1,663","1,048,692"
"2012","極","石田三成","2.5","3150","1.125","1620","10250","5,009","2,003","998,860"
"2013","極","島左近","2.5","3050","1.2","1570","11550","5,181","2,072","1,004,727"
"2014","極","前田慶次","3","3440","1.2","1280.0","12350","5,865","1,955","1,034,749"
"2015","極","直江兼続","3","3340","1.175","1970.0","12200","5,645","1,881","1,055,255"
"2016","極","真田幸村","3","3370","1.175","1600","11010","5,623","1,874","1,028,669"
"2017","極","茶々","1","1730","1","1625","9640","2,441","2,441","881,461"
"2018","極","宮本武蔵","2.5","1930","1.1","1930.0","30380","3,060","1,224","929,872"
"2019","極","佐々木小次郎","2.5","2150","1.075","1590","29140","3,302","1,320","931,791"
"2020","極","立花宗茂","2.5","3120","1.15","1580","11525","5,131","2,052","1,023,927"
"2021","極","福島正則","2.5","3080","1.2","1220.0","12160","5,366","2,146","1,062,321"
"2022","極","加藤清正","3","3220","1.2","1910.0","10930","5,498","1,832","1,029,030"
"2023","極","小早川隆景","2.5","3060","1.1","1955.0","10320","4,778","1,911","995,365"
"2024","極","前田利家","2.5","3180","1.125","1300.0","10900","5,046","2,018","995,002"
"2025","極","上杉景勝","3","3410","1.125","1625","11610","5,567","1,855","1,070,114"
"2026","極","柴田勝家","3","3350","1.2","1255.0","12360","5,851","1,950","1,082,878"
"2027","極","蒲生氏郷","3","3260","1.175","1960.0","11540","5,585","1,861","1,081,371"
"2028","極","伊達政宗","3","3350","1.2","1645","12177","5,829","1,943","1,079,556"
"2029","極","斎藤道三","3","3350","1.175","1645","10377","5,589","1,863","1,028,125"
"2030","極","豊臣秀頼","2","2700","1.075","1600","9650","4,096","2,048","956,912"
"2031","極","黒田長政","3","3440","1.175","1620","11530","5,908","1,969","1,101,056"
"2032","極","武田勝頼","3","3410","1.175","1610","10930","5,832","1,944","1,089,125"
"2033","極","浅野幸長","3","3450","1.175","1600","11510","5,916","1,972","1,098,689"
"2034","極","小西行長","3","3330","1.1","1910.0","11470","5,206","1,735","1,017,558"
"2035","極","毛利輝元","3","3350","1.175","1950.0","11530","5,665","1,888","1,059,247"
"2036","極","朝倉義景","3","3410","1.125","1600","10900","5,438","1,812","1,021,454"
"2037","極","明智光秀","3","3260","1.15","1965.0","11530","5,336","1,778","1,023,606"
"2038","極","井伊直虎","3","3290","1.2","1935.0","11520","5,765","1,921","1,092,589"
"2039","極","服部半蔵","2.5","2980","1.15","1970.0","11700","4,880","1,952","999,623"
"2040","極","柳生宗矩","2.5","2060","1.075","1590","28560","3,175","1,270","928,870"
"2041","極","柿崎景家","3","3310","1.2","1630","11520","5,782","1,927","1,087,066"
"2042","極","山県昌景","2.5","3170","1.175","1600","10940","5,398","2,159","1,061,120"
"2043","極","本多富正","3","3280","1.15","1925.0","11510","5,437","1,812","1,053,265"
"2044","極","今川義元","3","3360","1.15","1955.0","10900","5,495","1,831","1,029,688"
"2045","極","武田信玄","3","3320","1.2","1645","12110","5,846","1,948","1,106,230"
"2046","極","森蘭丸","3","3280","1.15","1930.0","10980","5,530","1,843","1,089,215"
"2047","極","本多正信","2.5","3070","1.125","1970.0","9680","4,900","1,960","1,000,386"
"2048","極","結城秀康","3","3400","1.175","1660","11610","5,675","1,891","1,031,740"
"2049","極","妙玖","2","2660","1.1","1650","9620","4,129","2,064","959,014"
"2050","極","松平信康","3","3300","1.2","1630","10950","5,739","1,913","1,075,251"
"2051","極","村上武吉","3","3370","1.1","1620","10900","5,257","1,752","1,014,680"
"2052","極","浅井長政","3","3330","1.175","1630","10930","5,601","1,867","1,046,011"
"2053","極","出雲阿国","2","2650","1.15","1940.0","10240","4,351","2,175","989,522"
"2054","極","定恵院","2","2770","1.175","1300.0","9600","4,576","2,288","970,700"
"2055","極","立花誾千代","3","3340","1.2","1610","10910","5,893","1,964","1,112,630"
"2056","極","酒井忠次","3","3440","1.175","1290.0","10880","5,862","1,954","1,084,616"
"2057","極","六角定頼","3","3360","1.15","1620","10850","5,476","1,825","1,023,249"
"2058","極","宇佐美定満","3","3270","1.2","1955.0","10260","5,678","1,892","1,072,199"
"2059","極","斎藤朝信","3","3340","1.2","1920.0","10880","5,877","1,959","1,107,025"
"2060","極","山県昌景(新)","3","3390","1.2","1620","10940","5,923","1,974","1,093,167"
"2061","極","馬場信房","2.5","3100","1.2","1620","10900","5,402","2,160","1,066,017"
"2062","極","高坂昌信","2.5","3080","1.175","1620","10870","5,178","2,071","1,028,196"
"2063","極","内藤昌豊","2.5","3020","1.175","1635","10250","5,019","2,007","999,478"
"2064","極","武田信繁","3.5","3560","1.2","1950.0","11520","6,232","1,780","1,111,006"
"2065","極","竹中半兵衛(新)","3","3400","1.175","2000.0","10250","5,684","1,894","1,039,564"
"2066","極","片倉小十郎","3","3370","1.15","1665","10930","5,632","1,877","1,077,884"
"2067","極","島津貴久","3","3360","1.15","1640","10920","5,597","1,865","1,070,019"
"2068","極","大谷吉継","2.5","2990","1.1","1690","9650","4,654","1,861","986,169"
"2069","極","島津豊久","2.5","3100","1.2","1330.0","10910","5,251","2,100","1,003,455"
"2070","極","細川ガラシャ","2","2750","1.125","1640","9620","4,364","2,182","967,979"
"2071","極","風魔小太郎","3","3260","1.175","1655","11100","5,514","1,838","1,048,264"
"2072","極","三好長慶","3","3350","1.175","1950.0","11590","5,759","1,919","1,094,728"
"2073","極","北条氏政","3.5","3550","1.125","1945.0","10910","5,695","1,627","1,043,639"
"2074","極","濃姫","1.5","2650","1.15","1650","9610","4,287","2,858","959,088"
"2075","極","斎藤道三(新)","3.5","3550","1.2","1980.0","11500","6,228","1,779","1,115,776"
"2076","極","北畠具教","2.5","2100","1.075","1620","27910","3,225","1,290","929,283"
"2077","極","吉川元春","3","3300","1.2","1630","11590","5,765","1,921","1,084,477"
"2078","極","山中鹿介","3","3340","1.175","1660","11580","5,574","1,858","1,027,770"
"2079","極","高橋紹運","2.5","3050","1.15","1620","10900","4,963","1,985","997,073"
"2080","極","岡左内","3","3280","1.175","1950.0","11530","5,484","1,828","1,029,180"
"2081","極","太田資正","3","3280","1.15","1960.0","10350","5,370","1,790","1,024,845"
"2082","極","長宗我部元親","2.5","3050","1.125","1950.0","11520","4,871","1,948","998,905"
"2083","極","霧隠才蔵","2.5","2820","1.175","1960.0","11700","4,722","1,888","993,266"
"2084","極","大友宗麟","3.5","3620","1.1","1980.0","11590","5,847","1,670","1,107,418"
"2085","極","宇喜多秀家","3","3390","1.175","1950.0","10970","5,820","1,940","1,095,069"
"2086","極","瑞渓院","2","2590","1.15","1670","9640","4,207","2,103","962,351"
"2087","極","最上義光","3.5","3620","1.15","1970.0","11580","6,130","1,751","1,124,858"
"2088","極","松平忠輝","2.5","3060","1.15","1620","10320","4,981","1,992","997,761"
"2089","極","島左近(新)","3.5","3740","1.2","1580","11700","6,566","1,876","1,126,938"
"2090","極","江","2.5","3100","1.175","1650","10860","5,207","2,082","1,028,098"
"2091","極","松永久秀","3","3260","1.175","1980.0","11400","5,442","1,814","1,028,040"
"2092","極","毛利元就","3","3360","1.15","1620","12120","5,481","1,827","1,023,460"
"2093","極","山本勘助","3.5","3680","1.175","1980.0","12700","6,425","1,835","1,158,321"
"2094","極","瀬名姫","2","2700","1.075","1920.0","10800","4,103","2,051","962,339"
"2701","極","北条早雲","3.5","3800","1.15","1650","10945","6,270","1,791","1,079,068"
"2702","極","本願寺蓮如","3","3400","1.125","1640","10320","5,426","1,808","1,021,644"
"2703","極","武田信虎","3.5","3760","1.2","1630","11550","6,501","1,857","1,096,529"
"2704","極","淀","2","2680","1.125","1645","10250","4,256","2,128","963,882"
"2705","極","朝倉宗滴","3","3390","1.2","1640","11540","5,935","1,978","1,097,905"
"2706","極","長尾為景","3.5","3700","1.2","1920.0","11540","6,423","1,835","1,101,861"
"2707","極","太田道灌","3.5","3730","1.175","1960.0","10930","6,414","1,832","1,125,534"
"2708","極","三好元長","3.5","3660","1.175","1950.0","11525","6,326","1,807","1,132,475"
"2709","極","浅井亮政","3.5","3650","1.2","1950.0","11550","6,336","1,810","1,097,661"
"2710","極","南光坊天海","3","3350","1.125","2005.0","10850","5,364","1,788","1,027,494"
"2711","極","寿桂尼","2","2630","1.1","1650","10220","4,083","2,041","957,223"
"2712","極","龍造寺家兼","3.5","3690","1.175","1650","11540","6,393","1,826","1,140,021"
"2713","極","北条幻庵","3","3480","1.2","1680","10870","5,984","1,994","1,065,545"
"2714","極","六角高頼","3.5","3660","1.175","1650","11550","6,118","1,748","1,055,200"
"2715","極","今川氏親","3.5","3730","1.175","1670","11540","6,431","1,837","1,131,385"
"2716","極","織田信秀","3.5","3750","1.175","1960.0","11520","6,448","1,842","1,127,417"
"2717","極","鈴木佐太夫","3.5","3600","1.15","1960.0","11060","5,915","1,690","1,052,573"
"2718","極","島津日新斎","3.5","3820","1.15","1980.0","10840","6,257","1,787","1,066,378"
"2719","極","三浦按針","2.5","3140","1.15","1970.0","12040","5,119","2,047","1,008,950"
